# Lote de cartas Foil — agosto/2026
# Formato aceito pelo painel admin ("Adicionar cartas por link") e por
# scripts/add-cards-by-link.mjs:  Nome da carta | link da imagem
# TCG: Magic · Tipo: Foil
Forest SLP# 0035 foil | https://lh3.googleusercontent.com/pw/AP1GczOStydtDe9PxNLTzd13J5JSlsND3XoD_pPrb-GOJc9yJfUMm3YfzjmsGF64x0WO_9otJMHZxq3kZMzGt8UgNOJe9wTXQwXc9oUuCJGAn8ISn9WAL40=w1600-h1600-s-no-gm?authuser=0
Hallowed Fountain ELC #347 foil | https://lh3.googleusercontent.com/pw/AP1GczMjPBPn5Fw5ItJ3R6HJvwoJpArukgV5kPk9k9W6Tix05Po_3iO7c3pB8j_lC-OvYCyNHnXhMabOm08xi8sqt2qJev27VEC7mBBfDrcrFmMquuuDMAA=w1600-h1600-s-no-gm?authuser=0
Hulk, Brutal Brawler #833 foil | https://lh3.googleusercontent.com/pw/AP1GczMlhJhnKlBSVopezEFDsTztkSwDpYuVgBbO3AD0wRI3EhYII-Us3h8k5xzoT1zXtfympU62BqnC9KMvQOV-ufosxfrH0NLOMx_5KxXzjx6-6i8ZXfM=w1600-h1600-s-no-gm?authuser=0
Iona, Shield of Emeria New V15 foil | https://lh3.googleusercontent.com/pw/AP1GczMjS9FRyb2JblOGzeYhCrzYWINzP9w_IPvxGiBZDI6YMfLDYbvHLKGUmXT9z0dX9zzOFc39c-5f_XsvY0k9KWWnDIO-gsbg7dTPo0oJD0G8WsYzucU=w1600-h1600-s-no-gm?authuser=0
Iron Man, Modern Marvel #830 foil | https://lh3.googleusercontent.com/pw/AP1GczNzBDupUjZNI2L3C0DsGoSaVNRylmR9RWbbM3P-o4FCULEBptwWNcDrW53DKrLvoGErDcuUSx8ZsRlwDW40gSQBCZbqEvvg-UvaqgOtXpI4zCQqa_w=w1600-h1600-s-no-gm?authuser=0
Island SLD# 1089 foil | https://lh3.googleusercontent.com/pw/AP1GczNjUniMof8VWAhCRY-nMH8YLn3dPIJ5yFahg0yWrDMyD22Hu3YOWrZEnFvMl4_nVVT7MT3JH9j2AFkJPcFPmEDRoLpDMD0YgJJJIJllBgzpCEyBDr4=w1600-h1600-s-no-gm?authuser=0
Island SLD# 1131 foil | https://lh3.googleusercontent.com/pw/AP1GczOnMYG-GNvmTltqnLxYl8S_SKIgsw6gZC5ibFsgFrccx773jwn0GNTsYsASdz50n6fhwDWZK35kyyqiHT4853l7v9pI6PqUfx9eyLmvPo9Pf9Ulozs=w1600-h1600-s-no-gm?authuser=0
Island SLD# 1383 foil | https://lh3.googleusercontent.com/pw/AP1GczPivgsm1GpYze45TjrKVnQ8Fpwl_117oIrLg9L2oQH0qkAS-s6-ziz7dcUShYvWCBkmPUrUvs3Fx7ijAJcqPDKrW1f0D5BNdDcTtPDztJoLr8TjzK0=w1600-h1600-s-no-gm?authuser=0
Island SLD# 1946 foil | https://lh3.googleusercontent.com/pw/AP1GczPbTNDBGux9rkJt-c64nQJ_5-IGLjvAKG72a-NHC0CH6nX8msH0p4Wlv6Nv_g4t_VdWs7uwpCUWA5urRcWPVfbNtjOiP0It8DGM4hcaRrvSNAuAo14=w1600-h1600-s-no-gm?authuser=0
Island SLD# 2510 foil | https://lh3.googleusercontent.com/pw/AP1GczM0pPyZ5tT2NAVm8QW25-oa9ysPXBd-N1m9uc9V3mfEVWDIDvHjBLRAt9fyKjTCpfgG-YwXtD745zmi9JQdszZBRqR3DKZzEz19pcYfhapwGK-knIE=w1600-h1600-s-no-gm?authuser=0
Island SLD# 2541 foil | https://lh3.googleusercontent.com/pw/AP1GczPuPdFxz4ummqhbQ3hv08P5sKD-taz1sMJb5C56mXe-N6agO5W3mKdjYxBie4D3pHm64H2dgjDpJS5SVdLCspj45NE8rdxqoSPt318UJd-G8DKD4-o=w1600-h1600-s-no-gm?authuser=0
Island SLD# 360 foil | https://lh3.googleusercontent.com/pw/AP1GczO0L84r7trs0jV54qwvnTyY-fho06QznXpMVbKtyeaQmI4d-gY-ne6QFE02hjPQsi0ptQ3sl_hSmSX4ly9C8QP1yMXfVCYSRFpyageAqb1uYZztjww=w1600-h1600-s-no-gm?authuser=0
Island SLD# 416 foil | https://lh3.googleusercontent.com/pw/AP1GczNPKkuPkWdSG2Zjs_z66jm0yHiR4MayXBKG5mDPrw-yoTrC5W2HCVyyfu2gSAbXLgS_IPy0L1UkjHG8_oeifzPWkQZzD6khdaZd10Bl9AO1aegPvdw=w1600-h1600-s-no-gm?authuser=0
Island SLD# 449 foil | https://lh3.googleusercontent.com/pw/AP1GczMFwVWGOtdQ9a_AFTPrinGOuNR-ovkPj3epN5AKScDpj_6NJD7b0W7ai9QAeGJ8ajWCpxlmuBbmsvNU-M_V4sVqrMbgeeProJoJGXCm4KQyJKxdVzU=w1600-h1600-s-no-gm?authuser=0
Island SLD# 673 foil | https://lh3.googleusercontent.com/pw/AP1GczOMpOYDCvOyoecfivoLXfmQvgHzGFaMC6P4U5MIJm_7aZLBglbhO0U58uCa2FoCKtWYwSUoH4yni_Cbh-T9hX98M0703jkg3zFCzLtg4JOomOHlO3k=w1600-h1600-s-no-gm?authuser=0
Island SLP# 0032 foil | https://lh3.googleusercontent.com/pw/AP1GczO5Oe-eA0Fza9trrT89kyLk6aXioJJ9B-0DDVCHxnNIPkXS2cqd29QGu-jjdhmmrCuDAJBKoxrCr7iFIl9Ad41LA5HXCaAwUUNF-P7QMkYEs28oZ-E=w1600-h1600-s-no-gm?authuser=0
Jennifer Walters/The Sensational She-Hulk MSH #388 foil | https://lh3.googleusercontent.com/pw/AP1GczMkzFl8tvr4nr_uBKCpwDJmwRCqA04okJQ64RCKpbU-_AvpGUDrf7a_oqcN4ZCZpaF1YdXA2mVQ16wvgZ-jHdOX165BByCCuqaks_Xnw-bJzCMMPWs=w1600-h1600-s-no-gm?authuser=0
Kefka, Court Mage/Kefka, Ruler of Ruin #322 foil | https://lh3.googleusercontent.com/pw/AP1GczOTo5iWpgTJ6LfrkM01xvfJpFKj7vm1aShu2YbXnUVQshbMP2VgHsIoWt-5yUNo3hHXUsApuPfSH9SUu1pIxUnfSTiBaeDGmAbnxlM2akUolLJtJE4=w1600-h1600-s-no-gm?authuser=0
Kefka, Court Mage/Kefka, Ruler of Ruin #398 foil | https://lh3.googleusercontent.com/pw/AP1GczOzAD3vOeXU3Y2ocrDfP-UUhIf0iz8r64zABA3Z0kS9_NBpmBRmhocMBAgUNmjFx0osPw5RDlQHtCoNZENW6SDDF_EGzI4uGQwxA_csIo9StEyJqac=w1600-h1600-s-no-gm?authuser=0
King T'Challa/Black Panther, Hope Enduring MSH #399 foil | https://lh3.googleusercontent.com/pw/AP1GczM2QU1XGCiwOZak9TI0-YulgGznjeBDUUyp0f38339LKnCsMVbcQaGIeo_XiJndDFR71xvLxp6GThcZ6zhykaZ47TNXUFCxNZqCTTmwL0MD0Loh1_Q=w1600-h1600-s-no-gm?authuser=0
Locke, Treasure Hunter Chocobotrackfoil | https://lh3.googleusercontent.com/pw/AP1GczOpNJR2uDTqExHphGDrTF7rSQDcL1ZYbNNuCnUb6EX9XdmBSeJZlch7si_DpDfJw4Lms0zWzMgYCK4rQAXLd2sj7BQnFbI5cfNIU-JDC2rbTYKDODs=w1600-h1600-s-no-gm?authuser=0
Loki, Lord of Misrule #628 foil | https://lh3.googleusercontent.com/pw/AP1GczNSI_sok9927rRngoNNObdmEkW-n-vnMAr_9r6EitaYinPC_PQfNRXYyKzHit5OMWIBwfNi3RUIFj4hTH2ozs_4kAwM16y0HiJ7LeDxO-mmRuBtz24=w1600-h1600-s-no-gm?authuser=0
Lulu, Stern Guardian Chocobotrackfoil | https://lh3.googleusercontent.com/pw/AP1GczPjVbkIXX7Kabpu_Q43s1nR4Ugb6es_QPcsu-T6cFa1EPHQ34FkGk0pFuu86CCm09ktJqcwiTf6PlpjomcM0ZrIetJUjFl-wApw_t-jbeaGmlB9iHI=w1600-h1600-s-no-gm?authuser=0
Marsh Flats SPG #115 Dragonscale foil-EN | https://lh3.googleusercontent.com/pw/AP1GczOLj1BUBcGy46AbGqHOrkcDyMAx1r91XX25rMw77l1k9woF505PWmhnRo8kV10tlWH8AO5sghAf8ohPnmS8Ah4cpQTbOp6cCqZENwDjwbawJY3__DU=w1600-h1600-s-no-gm?authuser=0
Marsh Flats SPG #115 Dragonscale foil-JP | https://lh3.googleusercontent.com/pw/AP1GczPx1RrbmMX7y5xzDRlsxC1zCLkjAm7cPYIT6HVpQquyWqTwXleROpYsCOViI43oMoUEZIpskSGtDRushK8LZrlQxcNcPt3HqyXpSRf1Es4LiIJDnIE=w1600-h1600-s-no-gm?authuser=0
Misty Rainforest SPG #116 Dragonscale foil-EN | https://lh3.googleusercontent.com/pw/AP1GczMJdq4IDwmeGw76iRuX7R_WC9bYhZWl4MVcuuvSLQx9qf7OEcItOG698kMrVm789Yz45d1uvWEdowoXS2LpJLP-ZOrYZ_KISjws9ejYnMB3W5bFzpo=w1600-h1600-s-no-gm?authuser=0
Misty Rainforest SPG #116 Dragonscale foil-JP | https://lh3.googleusercontent.com/pw/AP1GczMx6Mmkqg6LxhkbZwltF0B7OwRkS1vkW8gRlQrRDqv5sjOTkPp2lWOyCATJJcNfjLf9wmp81tpWoYouF42U9E2fzd3Zq-mDJBX2CZBNN6Y4Aog9OFU=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 1091 foil | https://lh3.googleusercontent.com/pw/AP1GczNbp9tL2lyNQ31t0K9AddTCzDjSB1E2rPmsWVkF8uoONz78UfPjIpoIY1G1HIR2KOXbzBo_MgncXmZGJSRuuTjJpxy5FqRTP_G6Isz7bvYgHzK_008=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 1133 foil | https://lh3.googleusercontent.com/pw/AP1GczPw9T2SI5RPKNC-ktdujjJ_XXjBECzs8iEZsSZVbhOUVhsU1B2VQt-8ChXhrzwPZ6Q5gXsYuTfzxM7740g0289ad3ip5ik_lhaWoADs6OPmybINc6A=w1600-h1600-s-no-gm?authuser=0
Mountain SLD# 1385 foil | https://lh3.googleusercontent.com/pw/AP1GczMf-F4DazA6KKKkHwaDucOV-NYwNUwGgfk33T3MEY_10QbGz4t-VSOUAl_2y6DD--MeoNdfKPRYIg8IY9NmXSoCOXpNv3FzrjLkacQn3la6ukVKlAU=w1600-h1600-s-no-gm?authuser=0
